,0,1
0,16175,1
1,19366,2
2,15127,3
3,11420,4
4,13876,5
5,14833,6
6,15722,7
7,13800,8
8,8131,9
9,17020,10
10,16881,11
11,16394,12
12,12887,13
13,10325,14
14,7828,15
15,7152,16
16,7182,17
17,10451,18
18,10215,19
19,11420,20
20,11420,21
21,18520,22
22,14510,23
23,16587,24
24,15493,25
25,14646,26
26,16733,27
27,19391,28
28,14582,29
29,8945,30
30,13976,31
31,8891,32
32,8655,33
33,15207,34
34,11621,35
35,11769,36
36,12036,37
37,12516,38
38,5191,39
39,8034,40
40,6973,41
41,14259,42
42,6152,43
43,17746,44
44,15381,45
45,731,46
46,15633,47
47,9929,48
48,10789,49
49,5523,50
50,17025,51
51,7767,52
52,10135,53
53,16110,54
54,9720,55
55,12015,56
56,14302,57
57,14145,58
58,10988,59
59,11823,60
60,13985,61
61,18757,62
62,9641,63
63,9644,64
64,11429,65
65,13223,66
66,16970,67
67,12460,68
68,12460,69
69,2697,70
70,9029,71
71,1824,72
72,1671,73
73,13246,74
74,9531,75
75,6550,76
76,12599,77
77,13550,78
78,5495,79
79,12773,80
80,9608,81
81,77,82
82,503,83
83,934,84
84,287,85
85,14112,86
86,13684,87
87,10884,88
88,10215,89
89,19172,90
90,19818,91
91,18338,92
92,18338,93
93,18289,94
94,18942,95
95,14213,96
96,7198,97
97,9592,98
98,5431,99
99,14980,100
100,11050,101
101,14668,102
102,9708,103
103,5981,104
104,13304,105
105,15904,106
106,15059,107
107,18607,108
108,15447,109
109,3224,110
110,9482,111
111,4994,112
112,11441,113
113,10368,114
114,12098,115
115,9073,116
116,12296,117
117,13595,118
118,14685,119
119,11328,120
120,15310,121
121,18983,122
122,19268,123
123,7138,124
124,7879,125
125,9558,126
126,11646,127
127,5562,128
128,7245,129
129,14222,130
130,2530,131
131,6785,132
132,13586,133
133,17096,134
134,17790,135
135,17605,136
136,9385,137
137,12337,138
138,17605,139
139,13795,140
140,12568,141
141,5405,142
142,9531,143
143,9651,144
144,6377,145
145,12171,146
146,10340,147
147,8576,148
148,2292,149
149,2299,150
150,12680,151
151,15445,152
152,15894,153
153,19411,154
154,7447,155
155,11818,156
156,16500,157
157,19152,158
158,19151,159
159,14140,160
160,15582,161
161,13606,162
162,9635,163
163,12428,164
164,12859,165
165,87,166
166,1393,167
167,347,168
168,16564,169
169,20182,170
170,19360,171
171,1138,172
172,759,173
173,1219,174
174,7898,175
175,3969,176
176,3355,177
177,6457,178
178,5599,179
179,5670,180
180,8530,181
181,5057,182
182,8832,183
183,1061,184
184,957,185
185,709,186
186,984,187
187,934,188
188,1000,189
189,14637,190
190,10729,191
191,16858,192
192,10340,193
193,7678,194
194,7670,195
195,15050,196
196,12596,197
197,13658,198
198,14853,199
199,16940,200
200,12898,201
201,6592,202
202,5576,203
203,5576,204
204,5367,205
205,4458,206
206,5367,207
207,15059,208
208,19029,209
209,19029,210
210,3265,211
211,6813,212
212,6813,213
213,2638,214
214,2843,215
215,3031,216
216,3429,217
217,7927,218
218,15754,219
219,3031,220
220,2241,221
221,10929,222
222,16975,223
223,6133,224
224,5183,225
225,14446,226
226,19321,227
227,14978,228
228,12813,229
229,12795,230
230,18383,231
231,7520,232
232,728,233
233,6652,234
234,639,235
235,17798,236
236,11468,237
237,15448,238
238,14761,239
239,4016,240
240,8421,241
241,1250,242
242,115,243
243,18534,244
244,13022,245
245,14758,246
246,18247,247
247,15721,248
248,17129,249
249,4766,250
250,1724,251
251,5576,252
252,10395,253
253,1062,254
254,5981,255
255,15306,256
256,13872,257
257,336,258
258,1621,259
259,16786,260
260,14987,261
261,12087,262
262,7738,263
263,16460,264
264,17517,265
265,16587,266
266,13759,267
267,11826,268
268,10416,269
269,6540,270
270,7160,271
271,5378,272
272,7989,273
273,2716,274
274,2036,275
275,14814,276
276,12709,277
277,7233,278
278,4796,279
279,14266,280
280,12008,281
281,9006,282
282,11072,283
283,16354,284
284,13976,285
285,18632,286
286,15991,287
287,17858,288
288,15881,289
289,5020,290
290,2746,291
291,10433,292
292,10082,293
293,19263,294
294,17317,295
295,7109,296
296,6504,297
297,7986,298
298,9463,299
299,3509,300
300,3509,301
301,9596,302
302,9596,303
303,9596,304
304,12453,305
305,12453,306
306,3709,307
307,13841,308
308,1417,309
309,13826,310
310,19406,311
311,9720,312
312,15704,313
313,9589,314
314,3960,315
315,17785,316
316,14154,317
317,934,318
318,13114,319
319,20199,320
320,5540,321
321,15118,322
322,4189,323
323,13017,324
324,13683,325
325,12917,326
326,7080,327
327,3622,328
328,15413,329
329,3939,330
330,4251,331
331,9594,332
332,5162,333
333,6490,334
334,17578,335
335,728,336
336,8755,337
337,4492,338
338,19336,339
339,16943,340
340,14262,341
341,18215,342
342,11448,343
343,13586,344
344,12770,345
345,18899,346
346,12198,347
347,4594,348
348,10169,349
349,128,350
350,13058,351
351,14705,352
352,11090,353
353,12305,354
354,245,355
355,19174,356
356,9328,357
357,18468,358
358,5447,359
359,17998,360
360,5617,361
361,9476,362
362,1914,363
363,14437,364
364,10485,365
365,16142,366
366,5374,367
367,7050,368
368,17436,369
369,5964,370
370,1141,371
371,14587,372
372,18853,373
373,3355,374
374,13570,375
375,15607,376
376,11928,377
377,12671,378
378,5923,379
379,18333,380
380,12036,381
381,5020,382
382,5416,383
383,16393,384
384,9300,385
385,14309,386
386,2523,387
387,12016,388
388,16358,389
389,5912,390
390,1075,391
391,3477,392
392,9140,393
393,15630,394
394,12623,395
395,2258,396
396,17301,397
397,7927,398
398,10673,399
399,12587,400
